,ID,clean_tweets,sentiment_score,speech_category
0,1585739644011892736,komentar dukung setia joko widodo presiden ri cinta rakyat kerja keras,0.31833655,neutral speech
1,1585737538806853632,sigundul kuasa ancol unya jilat buka jeroan kpk jaksa agung markas besar polri turun selidik,0.4680455,neutral speech
2,1584780616369049605,kasihan korban akibat cuci otak kadrun tanggung terima kasih polisi paspampres waspada waspada waspada,0.34636542,neutral speech
3,1584778048120836096,kadrun stres pimpin negara inggeris turun angkat identitas sara ujar benci fitnah teror lahir dki kura perahu pura,0.25981444,neutral speech
4,1584774254502912000,sewot pidato sambut joko widodo presiden ri hut partai golkar baris sakit hati kadrun bakar jenggot ucap s e b r o o sabar duduk bonceng kerja kerja kerja rakyat indonesia ter cinta,-0.15948415,dangerous speech
5,1584146136817811456,pesong gila kadrun joko widodo lho presiden ri cinta rakyat,0.08712652,neutral speech
6,1584144073996181504,pesong gila fantasi kadrun,-0.50695443,dangerous speech
7,1583635566008029185,sembrono calon presiden koalisi rapuh peca kongsi calon gagal calon wakil presiden partai bujuk gabung kib,0.13199976,neutral speech
8,1583567179559014400,sembrono calon presiden wakil presiden joko widodo presiden ri sambut hut partai golkar jokowi sungging singgung dengar,0.16646048,neutral speech
9,1583428086464360449,hutang hutang hutang ros ko sri ucap tohok j a w a b ros termehek mehek,-0.36393583,dangerous speech
10,1583304103907639297,termehek memehek do i hakim kadrun pikir sempit jontor banyak bicara terap joko widodo presiden ri jaya rakyat indonesia ter cinta dukung setia,-0.30150223,dangerous speech
11,1583276383396335616,kasihan otak bikin salah pikir akibat kadrun buta hukum sok pintar hukum perdata beda hukum,0.16811794,neutral speech
12,1582912604770484224,calon lambat pergi dukung kasihan rakyat indonesia ter cinta,-0.106723994,dangerous speech
13,1582549968799559680,nama goblok pelihara malu tong kosong cempreng bunyi kadrun bodoh joko widodo presiden ri fitnah rakyat indonesia men cinta jokowi,0.038446754,neutral speech
14,1582516456813514752,joko widodo presiden ri cinta rakyat cari panggung erti acara hukum perdata,0.08838177,neutral speech
15,1582370462922788866,kadrun pakai kaca mata kuda best,-0.6786761,dangerous speech
16,1581940164355506176,j e l a s dukung kadrun ngebacot a l,-0.2049616,dangerous speech
17,1581930215361552384,jalan maturnuwun heru pj gubernur pagi lantik niat mulia rakyat bravo joko widodo presiden ri jokowi tugas tokoh dki pj gubernur,0.068060786,neutral speech
18,1581639223425126402,lawak dukung kadrun lucu,-0.36016455,dangerous speech
19,1581438060214235136,ngotot tahan koalisi nama muka badak mohon joko widodo cinta rakyat cepat sikap malu anggap bodoh tolol dungu bego,0.11384526,neutral speech
20,1581237992424808448,kadrun pesong gila masuk rumah sakit jiwa grogol,0.24753258,neutral speech
21,1580838564551532544,setujuuuuu tangkap borgol kadrun langgar hukum negara indonesia ter cinta ber ideologi pancasila,0.0065558255,neutral speech
22,1580812104742801408,sabar duduk bonceng percaya presiden indonesia joko widodo arif bijaksana menutuskannya hormat presiden milik hak segar kabinet,-0.09922743,dangerous speech
23,1580809757316698113,joko widodo presiden ri cinta rakyat kadrun maju indonesia maju indonesia raya,-0.31208345,dangerous speech
24,1580807715600809984,dukung kadrun stres pesong gila rujuk rumah sakit jiwa grogol,0.42110616,neutral speech
25,1580804260744175616,terima laku kadrun ngeri kakak malu berdo a,0.1729843,neutral speech
26,1580641559090847744,hanyut tenggelam undang makan siang pj gubernur dki heru bicara unya cakap cakap rangkai nyengir kadrun,0.32138854,neutral speech
27,1580450961373294592,hai dukung kadrun malu malu fitnah joko widodo presiden ri cinta rakyat,-0.05808893,dangerous speech
28,1580449041661317120,jilid jilid demo dukung rakyat indonesia cinta ormas buruh ketua kadrun ancam demo ge november jual laku letak muka badak,0.38193148,neutral speech
29,1580372494984151040,kadrun marah tolol wassalam,-0.8235448,dangerous speech
30,1580362392478789632,dukung pakai kaca mata kuda kerja amburadul kader parpolnya dukung calon presiden ngerasanin pedas sebentar pakai seragam oranye borgol,0.25019562,neutral speech
31,1580113664291397633,kilah malu malu tunggu pakai rompi orange borgol save kpk,-0.50281703,dangerous speech
32,1580071946229686273,kadrun fitnah joko widodo periode presiden ri cinta rakyat indonesia ter cinta,-0.27138227,dangerous speech
33,1580067900060147712,sakit jiwa pesong jual agama biar bahaya adil domba otak an kadrun,-0.24761978,dangerous speech
34,1579743445115342852,ngeri kakak bayang kadrun kuasa republik indonesia ter cinta pening tanteeeeeee modar,0.20437646,neutral speech
35,1579735667781013504,ustadz waspada waspada waspada kadrun ngeri kakak,-0.18508747,dangerous speech
36,1579731516485402625,fitnah presiden ri joko widodo alumni ugm badut demokrasi cari panggung raut muka pesong gila,0.27790046,neutral speech
37,1579664398150381570,lambat telat pikir kadrun lambat mikir cari benar,-0.3058657,dangerous speech
38,1579646374664364033,indonesia ter cinta mimpi kakak yaman presiden ri,-0.257298,dangerous speech
39,1579645537812631552,termehek mehek waspada pepatah keledai masuk x lubang manusia cerdas cipta,-0.34319106,dangerous speech
40,1578269557948497921,anjing ku kaing kaing comberan,-0.31253588,dangerous speech
41,1577927900023574528,lucu tengah jakarta guyur hujan banjir ge,0.04571888,neutral speech
42,1577905769772732418,lidah tulang moral suka b o h o g malu malu,-0.31102365,dangerous speech
43,1577779575001473024,karma hina nama senjata makan tuan tua kadrun dungu pelihara,-0.26289308,dangerous speech
44,1577675518375170048,termehek mehek kadrun lho,-0.35092115,dangerous speech
45,1577674023781076992,pepatah kacang lupa kulit kadrun,-0.24238938,dangerous speech
46,1577552145544794112,heran kakak usut nyapres kadrun termehek mehek lucu,0.0008571744,neutral speech
47,1576857740869128194,kumur mulut pesong gila kakak mulut comberan kadrun oon,-0.19684151,dangerous speech
48,1576616388080254976,menang kalah tragedi apa sepak bola olahraga pesta demokrasi rusuh rakyat indonesia cinta dosa korban waspada waspada waspada,-0.12844127,dangerous speech
49,1576439383229485058,rakyat indonesia cinta duka tragedi kanjuruhan tabah keluarga tinggal,0.24546295,neutral speech
50,1575661773339840512,kirim presiden ri beda tipis beda tipis joko widodo presiden ri paten,0.014630109,neutral speech
51,1575659929670930438,tampil nyata twitter rakyat indonesia cinta cerdas termehek mehek laku kadrun otak an,-0.0055897236,dangerous speech
52,1575656239186382848,rombong pesong gila jelang milu rakyat indonesia cinta cerdas kompor ge,0.024028301,neutral speech
53,1575508140535136256,curi start kampanye pakai nomor urut kadrun,-0.02958849,dangerous speech
54,1575495702993518593,milu pesong gila rumah sakit jiwa grogol sebentar terima pasien penuh,0.7294954,neutral speech
55,1575375376376770562,pdi juang lawan pesong gila termehek mehek,-0.1929968,dangerous speech
56,1574931768393637892,hai demo bbm jilid jilid film rambo rakyat indonesia cinta dukung kadrun otak an malu lihat adik ajar sulteng sambut presiden cinta jokowi,-0.14710009,dangerous speech
57,1574928705842839552,kerja ngebacot mulut apek kadrun,-0.15775847,dangerous speech
58,1574926767701499904,hancur partai kawan besar alm had utomo ketua partai demokrat lihat batang hidung,0.0745914,neutral speech
59,1574660441132785664,pesong gila masuk ge rumah sakit jiwa grogol maju pdi juang rakyat indonesia cinta ketua presiden ri megawati soekarnoputri indonesia raya,-0.17284572,dangerous speech
60,1574297616921546753,sitolol stres hati pesong gila,-0.20392102,dangerous speech
61,1574297068172378112,kuasa republik andil kuasa pimpin kakak tolol an politik hati sebentar pesong gila frustasi,-0.37480915,dangerous speech
62,1572478087304204291,seru kakak kampung ku maling teriak maling ich malu,-0.17919585,dangerous speech
63,1570891314551721985,beda pimpin sayang cinta rakyat cepat selesai beda kadrun hitung tengah oktober selesai thttpurl,-0.12014496,dangerous speech
64,1570688314273071104,sadar demo tunggang kadru baris sakit hati kuat moral,-0.03662026,dangerous speech
65,1570684160536350723,negara ideloginya pancasila kadrun sadar lex specialist,0.008075863,neutral speech
66,1570676110928793600,tuju dukung kadrun baris sakit hati sesat,-0.23437041,dangerous speech
67,1570588080926785536,keledai masuk lubang mamusia cipta sempurna dki menang sara ujar benci fitnah teror kadrun mimpi kakak,-0.12211743,dangerous speech
68,1570053923079356417,kadrun malu tong kosong cempreng bunyi modal mulut busuk ngebacot ngompori rakyat indonesia cinta cerdas era reformasi,0.14254662,neutral speech
69,1569660385053282306,anjing kaing comberan tan mar,-0.20484215,dangerous speech
70,1569554627384995841,enak sok juang bawa bawa rakyat rakyat indonesia cinta cerdas kadal gurun ge,-0.05839601,dangerous speech
71,1569510874515402752,kader buat salah lawan politik dukung partai rusak waspada waspada waspada,0.14680424,neutral speech
72,1569320497850249216,kadrun kumur lucu termehek mehek,-0.27624184,dangerous speech
73,1569270478208143360,polisi demo cerdas cepat jalan saudara kadrun,0.39594805,neutral speech
