,ID,Tweets,clean_tweets,Social,Historical,Dehumanization,Accusation,Attack,Threat,Loyalty,severity,speech_category
0,1.58574E+18,"Sama banget Komentar ini dgn para pendukung setia Bpk Joko Widodo Presiden RI ke 7, yg sangat dicintai Rakyatnya krn Kerja Keras MERDEKA.https://t.co/J13jDjAn8t",komentar dukung setia joko widodo presiden ri cinta rakyat kerja keras,1,0,0,0,0,0,0,0.335,neutral speech
1,1.58574E+18,"Ha ha ha sigundul penguasa ancol karena selama ini taunya hanya jilat2 gabenar mulai dibuka jeroannya, KPK Kejaksaan Agung Mabes Polri tolong segera turun/selidiki MERDEKA. https://t.co/Zzp3e2IZ67",sigundul kuasa ancol unya jilat buka jeroan kpk jaksa agung markas besar polri turun selidik,1,0,0,1,0,0,0,0.565,dangerous speech
2,1.58478E+18,"Kasihan Ibu ini jadi korban akibat dicuci otaknya sama kadrun yg tdk bertanggung jawab, Terima kasih Polisi dan Paspampres Waspada waspada waspadalah MERDEKA. https://t.co/mvS9YwaJNX",kasihan korban akibat cuci otak kadrun tanggung terima kasih polisi paspampres waspada waspada waspada,0,0,1,1,0,0,0,0.295,hate speech
3,1.58478E+18,"Ha ha hakadrun pada stresssssss mengenai beberapa Pemimpin di Negara Inggeris dari Keturunan, perlu diketahui mereka tdk pernah  mengangkat masalah Identitas SARA Ujaran kebencian Fitnah dan Teror yg melahirkan gabenar DKI Kura2 dalam Perahu eh Pura2 tdk Tau MERDEKA",kadrun stres pimpin negara inggeris turun angkat identitas sara ujar benci fitnah teror lahir dki kura perahu pura,1,0,1,0,0,0,0,0.4,hate speech
4,1.58477E+18,"Kok sewot dgn Pidato Sambutan Bpk Joko Widodo Presiden RI ke 7 di Acara HUT Partai Golkar ?, barisan sakit hati &amp; kadrun pada kebakaran jenggot dgn ucapan s e m b r o n o sabar saja duduk diboncengan &amp; mari Kerja kerja kerja dulu utk Rakyat INDONESIA tercinta MERDEKA. https://t.co/u1mZvd0AGA",sewot pidato sambut joko widodo presiden ri hut partai golkar baris sakit hati kadrun bakar jenggot ucap s e b r o o sabar duduk bonceng kerja kerja kerja rakyat indonesia ter cinta,0,0,1,0,0,0,0,0.065,abusive language
5,1.58415E+18,"@BosPurwa Ha ha ha makin pesong/gila nie ye kadrun, Pak Joko Widodo gitu lho Presiden RI yg sangat diCintai Rakyatnya MERDEKA.",pesong gila kadrun joko widodo lho presiden ri cinta rakyat,1,0,1,0,0,0,0,0.4,hate speech
6,1.58414E+18,@_melody_mellow Ha ha ha pesong/gila mana mungkin berfantasi kadrun  sich MERDEKA.,pesong gila fantasi kadrun,0,0,1,0,0,0,0,0.065,abusive language
7,1.58364E+18,"Karena sembrono gabenar tetap hanya Bakal Calon Presiden, karena koalisinya rapuh jadi pasti peca kongsi setelah calonnya gagal jadi Bakal Calon Wakil Presiden gabenar dan sekarang partainya sudah dibujuk bergabung di KIB MERDEKA.",sembrono calon presiden koalisi rapuh peca kongsi calon gagal calon wakil presiden partai bujuk gabung kib,1,0,0,0,0,0,0,0.335,neutral speech
8,1.58357E+18,"Sudah jelaskan jangan Sembrono mencalonkan Presiden dan Wakil Presiden demikian secara tegas dikatakan Bpk Joko Widodo Presiden RI dalam sambutan HUT Partai Golkar, 100 utk Pak JOKOWI walaupun ada yg tersungging eh tersinggung mendengarnya MERDEKA. https://t.co/XG6ia8ky6Z",sembrono calon presiden wakil presiden joko widodo presiden ri sambut hut partai golkar jokowi sungging singgung dengar,1,0,0,0,0,0,0,0.335,neutral speech
9,1.58343E+18,Ha ha ha hutang hutang hutang eh Rosi langsung di KO Bu Sri dgn ucapan menohok j a w a b dulu Ros ? tertawa Aku termehek mehek MERDEKA. https://t.co/06eEn3x5IV,hutang hutang hutang ros ko sri ucap tohok j a w a b ros termehek mehek,1,0,0,0,0,0,0,0.335,neutral speech
