,tweets,cluster
0,komentar dukung setia joko widodo presiden ri cinta rakyat kerja keras,5
1,sigundul kuasa ancol unya jilat buka jeroan kpk jaksa agung markas besar polri turun selidik,17
2,kasihan korban akibat cuci otak kadrun tanggung terima kasih polisi paspampres waspada waspada waspada,0
3,kadrun stres pimpin negara inggeris turun angkat identitas sara ujar benci fitnah teror lahir dki kura perahu pura,9
4,sewot pidato sambut joko widodo presiden ri hut partai golkar baris sakit hati kadrun bakar jenggot ucap s e b r o o sabar duduk bonceng kerja kerja kerja rakyat indonesia ter cinta,6
5,pesong gila kadrun joko widodo lho presiden ri cinta rakyat,16
6,pesong gila fantasi kadrun,16
7,pintar kasus beda ngebacot benci,17
8,sembrono calon presiden koalisi rapuh peca kongsi calon gagal calon wakil presiden partai bujuk gabung kib,17
9,sembrono calon presiden wakil presiden joko widodo presiden ri sambut hut partai golkar jokowi sungging singgung dengar,5
10,hutang hutang hutang ros ko sri ucap tohok j a w a b ros termehek mehek,19
11,termehek memehek do i hakim kadrun pikir sempit jontor banyak bicara terap joko widodo presiden ri jaya rakyat indonesia ter cinta dukung setia,5
12,kasihan otak bikin salah pikir akibat kadrun buta hukum sok pintar hukum perdata beda hukum,18
13,jual bubur dijenbatan ancol bubur dingin gigi ompong,17
14,calon lambat pergi dukung kasihan rakyat indonesia ter cinta,10
15,usut kpk polisi jaksa kendor,17
16,nama goblok pelihara malu tong kosong cempreng bunyi kadrun bodoh joko widodo presiden ri fitnah rakyat indonesia men cinta jokowi,5
17,joko widodo presiden ri cinta rakyat cari panggung erti acara hukum perdata,5
18,kadrun pakai kaca mata kuda best,17
19,ulang ulang vidionya kakak sigagap kader malu,17
20,bicara l e g s e r nasib sibotak jembatan ancol kangen komentar,17
21,bedan sambut pj gubernur dki heru beda lepas beda kuat moral kuat citra plus nasi bungkus ngeri kakak,17
22,j e l a s dukung kadrun ngebacot a l,17
23,jalan maturnuwun heru pj gubernur pagi lantik niat mulia rakyat bravo joko widodo presiden ri jokowi tugas tokoh dki pj gubernur,5
24,lawak dukung kadrun lucu,17
25,hati rakyat indonesia ter cinta bohong cerdas reformasi,10
26,ngotot tahan koalisi nama muka badak mohon joko widodo cinta rakyat cepat sikap malu anggap bodoh tolol dungu bego,17
27,kadrun pesong gila masuk rumah sakit jiwa grogol,16
28,perut ku henti kocok mati termehek mehek,19
29,meme percik air dulang terpercik muka nama senjata makan tuan,17
30,why not best do i pakai kaca mata kuda bawa republik indonesia ter cinta ngeri kakak,10
31,kasih angka ngebacot bicara sembarang malu af,17
32,setujuuuuu tangkap borgol kadrun langgar hukum negara indonesia ter cinta ber ideologi pancasila,18
33,lagu baik gugah hati paten,17
34,sabar duduk bonceng percaya presiden indonesia joko widodo arif bijaksana menutuskannya hormat presiden milik hak segar kabinet,23
35,joko widodo presiden ri cinta rakyat kadrun maju indonesia maju indonesia raya,5
36,dukung kadrun stres pesong gila rujuk rumah sakit jiwa grogol,16
37,terima laku kadrun ngeri kakak malu berdo a,17
38,hanyut tenggelam undang makan siang pj gubernur dki heru bicara unya cakap cakap rangkai nyengir kadrun,17
